icon,product,revenue_dollars,revenue_pct,profit_dollars,profit_pct,monthly_sales
grinder.png,Grinder,904500,0.03,567960,0.04,"521,494,596,613,667,748,765,686,607,594,568,751"
moka-pot.png,Moka pot,2045250,0.07,181080,0.01,"4726, 4741, 4791, 5506, 6156, 6619, 6868, 6026, 5304, 4884, 4648, 6283"
cold-brew.png,Cold brew,288750,0.01,241770,0.02,"244, 249, 438, 981, 1774, 2699, 2606, 2348, 1741, 896, 499, 244"
filter.png,Filter,404250,0.01,70010,0.0,"2067, 1809, 1836, 2123, 2252, 2631, 2562, 2367, 2164, 2195, 2070, 2744"
drip-machine.png,Drip machine,2632000,0.09,1374450,0.09,"2137, 1623, 1971, 2097, 2580, 2456, 2336, 2316, 2052, 1967, 1837, 2328"
aeropress.png,AeroPress,2601500,0.09,1293780,0.09,"6332, 5199, 6367, 7024, 7906, 8704, 8693, 7797, 6828, 6963, 6877, 9270"
pour-over.png,Pour over,846000,0.03,364530,0.02,"1562, 1291, 1511, 1687, 1940, 2177, 2141, 1856, 1715, 1806, 1601, 2165"
french-press.png,French press,1113250,0.04,748120,0.05,"3507, 2880, 3346, 3792, 3905, 4095, 4184, 4428, 3279, 3420, 3297, 4819"
cezve.png,Cezve,2512500,0.09,1969520,0.13,"12171, 11469, 11788, 13630, 15391, 16532, 17090, 14433, 12985, 12935, 11598, 15895"
chemex.png,Chemex,3137250,0.11,817680,0.06,"4938, 4167, 5235, 6000, 6358, 6768, 7112, 6249, 5605, 6076, 4980, 7220"
scale.png,Scale,3801000,0.13,2910290,0.2,"1542, 1566, 1681, 2028, 2425, 2549, 2569, 2232, 2036, 2089, 1693, 3180"
kettle.png,Kettle,756250,0.03,617520,0.04,"1139, 1023, 1087, 1131, 1414, 1478, 1456, 1304, 1140, 1233, 1193, 1529"
espresso-machine.png,Espresso Machine,8406000,0.29,3636440,0.25,"686, 840, 618, 598, 2148, 533, 797, 996, 1002, 668, 858, 2577"
,Total,29448500,1.0,14793150,1.0,